day,case,weight,calories_burned,bmr
212,rigorous exercise,197.05861625923603,328.6441614074853,1599.6038061850786
213,rigorous exercise,196.96476264860374,328.48763721307637,1599.1778833518947
214,rigorous exercise,196.87095373787037,328.3311875668454,1598.7521633740666
215,rigorous exercise,196.77718950574658,328.17481243328723,1598.32664615498
216,rigorous exercise,196.68346993095318,328.0185117769134,1597.9013315980665
217,rigorous exercise,196.5897949922211,327.86228556225245,1597.4762196068036
218,rigorous exercise,196.49616466829144,327.70613375384994,1597.0513100847147
219,rigorous exercise,196.40257893791537,327.5500563162682,1596.62660293537
220,rigorous exercise,196.3090377798542,327.39405321408634,1596.202098062384
221,rigorous exercise,196.21554117287937,327.2381244119006,1595.7777953694185
222,rigorous exercise,196.12208909577242,327.0822698743238,1595.3536947601808
223,rigorous exercise,196.028681527325,326.9264895659859,1594.9297961384236
224,rigorous exercise,195.93531844633884,326.77078345153336,1594.5060994079463
225,rigorous exercise,195.8419998316258,326.6151514956298,1594.082604472593
226,rigorous exercise,195.7487256620078,326.45959366295546,1593.6593112362546
227,rigorous exercise,195.6554959163169,326.3041099182076,1593.2362196028675
228,rigorous exercise,195.56231057339517,326.14870022610006,1592.8133294764134
229,rigorous exercise,195.4691696120948,325.99336455136364,1592.3906407609204
230,rigorous exercise,195.376073011278,325.8381028587459,1591.9681533604619
231,rigorous exercise,195.28302074981715,325.68291511301123,1591.545867179157
232,rigorous exercise,195.1900128065946,325.5278012789406,1591.1237821211707
233,rigorous exercise,195.0970491605028,325.3727613213321,1590.7018980907133
234,rigorous exercise,195.0041297904442,325.21779520500036,1590.2802149920408
235,rigorous exercise,194.9112546753314,325.0629028947767,1589.858732729455
236,rigorous exercise,194.81842379408698,324.9080843555093,1589.4374512073032
237,rigorous exercise,194.72563712564354,324.75333955206327,1589.0163703299786
238,rigorous exercise,194.63289464894373,324.5986684493201,1588.5954900019192
239,rigorous exercise,194.54019634294025,324.4440710121782,1588.174810127609
240,rigorous exercise,194.4475421865958,324.28954720555265,1587.754330611577
241,rigorous exercise,194.35493215888312,324.13509699437526,1587.3340513583985
242,rigorous exercise,194.26236623878495,323.9807203435946,1586.9139722726936
243,rigorous exercise,194.16984440529404,323.82641721817583,1586.4940932591285
244,rigorous exercise,194.07736663741315,323.67218758310077,1586.074414222414
245,rigorous exercise,193.98493291415505,323.5180314033681,1585.654935067306
246,rigorous exercise,193.89254321454248,323.363948643993,1585.2356556986074
247,rigorous exercise,193.8001975176082,323.2099392700074,1584.8165760211646
248,rigorous exercise,193.70789580239494,323.05600324645985,1584.3976959398708
249,rigorous exercise,193.6156380479554,322.9021405384155,1583.9790153596634
250,rigorous exercise,193.52342423335227,322.74835111095615,1583.5605341855257
251,rigorous exercise,193.43125433765823,322.5946349291804,1583.142252322486
252,rigorous exercise,193.3391283399559,322.44099195820326,1582.7241696756178
253,rigorous exercise,193.24704621933785,322.28742216315646,1582.3062861500398
254,rigorous exercise,193.15500795490664,322.13392550918826,1581.8886016509164
255,rigorous exercise,193.06301352577478,321.98050196146363,1581.4711160834563
256,rigorous exercise,192.97106291106473,321.82715148516405,1581.0538293529144
257,rigorous exercise,192.8791560899089,321.67387404548765,1580.6367413645896
258,rigorous exercise,192.78729304144957,321.52066960764904,1580.2198520238267
259,rigorous exercise,192.69547374483903,321.3675381368795,1579.8031612360153
260,rigorous exercise,192.60369817923947,321.21447959842675,1579.3866689065899
261,rigorous exercise,192.51196632382303,321.0614939575551,1578.97037494103
262,rigorous exercise,192.42027815777172,320.90858117954554,1578.5542792448614
263,rigorous exercise,192.32863366027752,320.75574122969545,1578.1383817236524
264,rigorous exercise,192.23703281054227,320.6029740733187,1577.722682283019
265,rigorous exercise,192.14547558777778,320.4502796757459,1577.3071808286197
266,rigorous exercise,192.0539619712057,320.29765800232394,1576.89187726616
267,rigorous exercise,191.9624919400576,320.1451090184163,1576.476771501389
268,rigorous exercise,191.8710654735749,319.992632689403,1576.0618634401012
269,rigorous exercise,191.779682551009,319.8402289806805,1575.6471529881358
270,rigorous exercise,191.6883431516211,319.68789785766165,1575.2326400513766
271,rigorous exercise,191.5970472546823,319.535639285776,1574.8183245357532
272,rigorous exercise,191.5057948394736,319.38345323046946,1574.4042063472389
273,rigorous exercise,191.41458588528582,319.2313396572042,1573.9902853918522
274,rigorous exercise,191.32342037141967,319.07929853145913,1573.5765615756563
275,rigorous exercise,191.23229827718575,318.9273298187295,1573.1630348047597
276,rigorous exercise,191.14121958190447,318.7754334845269,1572.7497049853146
277,rigorous exercise,191.05018426490608,318.62360949437954,1572.3365720235188
278,rigorous exercise,190.9591923055307,318.47185781383183,1571.923635825614
279,rigorous exercise,190.8682436831283,318.32017840844475,1571.5108962978873
280,rigorous exercise,190.77733837705864,318.16857124379555,1571.09835334667
281,rigorous exercise,190.68647636669135,318.017036285478,1570.686006878338
282,rigorous exercise,190.59565763140589,317.8655734991022,1570.273856799312
283,rigorous exercise,190.50488215059153,317.71418285029466,1569.861903016057
284,rigorous exercise,190.4141499036473,317.5628643046983,1569.4501454350832
285,rigorous exercise,190.32346086998217,317.4116178279721,1569.0385839629441
286,rigorous exercise,190.2328150290148,317.26044338579186,1568.627218506239
287,rigorous exercise,190.14221236017372,317.1093409438495,1568.2160489716111
288,rigorous exercise,190.0516528428972,316.95831046785315,1567.805075265748
289,rigorous exercise,189.96113645663334,316.8073519235275,1567.3942972953816
290,rigorous exercise,189.87066318084,316.6564652766135,1566.983714967289
291,rigorous exercise,189.7802329949849,316.5056504928682,1566.5733281882904
292,rigorous exercise,189.68984587854547,316.35490753806533,1566.1631368652515
293,rigorous exercise,189.5995018110089,316.20423637799473,1565.753140905082
294,rigorous exercise,189.5092007718722,316.0536369784624,1565.3433402147364
295,rigorous exercise,189.4189427406421,315.9031093052909,1564.9337347012124
296,rigorous exercise,189.32872769683516,315.7526533243188,1564.5243242715526
297,rigorous exercise,189.2385556199776,315.6022690014013,1564.1151088328443
298,rigorous exercise,189.1484264896055,315.45195630240937,1563.7060882922183
299,rigorous exercise,189.05834028526456,315.3017151932307,1563.2972625568505
300,rigorous exercise,188.96829698651035,315.1515456397689,1562.88863153396
301,rigorous exercise,188.87829657290808,315.00144760794404,1562.480195130811
302,rigorous exercise,188.78833902403275,314.85142106369227,1562.071953254711
303,rigorous exercise,188.69842431946904,314.70146597296605,1561.6639058130127
304,rigorous exercise,188.60855243881142,314.55158230173396,1561.2560527131116
305,rigorous exercise,188.518723361664,314.40177001598096,1560.8483938624486
306,rigorous exercise,188.42893706764065,314.2520290817081,1560.4409291685079
307,rigorous exercise,188.33919353636495,314.1023594649325,1560.033658538818
308,rigorous exercise,188.24949274747019,313.9527611316876,1559.6265818809513
309,rigorous exercise,188.15983468059932,313.8032340480232,1559.2196991025248
310,rigorous exercise,188.07021931540504,313.65377818000496,1558.8130101111983
311,rigorous exercise,187.9806466315497,313.5043934937149,1558.4065148146774
312,rigorous exercise,187.89111660870535,313.35507995525086,1558.0002131207093
313,rigorous exercise,187.8016292265537,313.2058375307274,1557.5941049370874
314,rigorous exercise,187.7121844647862,313.0566661862747,1557.1881901716474
315,rigorous exercise,187.6227823031039,312.9075658880393,1556.78246873227
316,rigorous exercise,187.53342272121756,312.75853660218394,1556.3769405268793
317,rigorous exercise,187.4441056988476,312.6095782948874,1555.9716054634428
318,rigorous exercise,187.3548312157241,312.4606909323444,1555.5664634499726
319,rigorous exercise,187.26559925158674,312.3118744807659,1555.1615143945246
320,rigorous exercise,187.1764097861849,312.1631289063791,1554.7567582051975
321,rigorous exercise,187.08726279927765,312.01445417542686,1554.3521947901347
322,rigorous exercise,186.9981582706336,311.86585025416866,1553.9478240575236
323,rigorous exercise,186.90909618003107,311.7173171088798,1553.543645915594
324,rigorous exercise,186.82007650725797,311.5688547058515,1553.1396602726209
325,rigorous exercise,186.73109923211186,311.4204630113911,1552.7358670369222
326,rigorous exercise,186.64216433439992,311.27214199182225,1552.3322661168595
327,rigorous exercise,186.55327179393893,311.1238916134843,1551.928857420838
328,rigorous exercise,186.4644215905553,310.97571184273284,1551.5256408573068
329,rigorous exercise,186.37561370408503,310.82760264593935,1551.1226163347587
330,rigorous exercise,186.28684811437375,310.6795639894914,1550.7197837617296
331,rigorous exercise,186.19812480127666,310.5315958397926,1550.3171430467992
332,rigorous exercise,186.1094437446586,310.38369816326247,1549.9146940985909
333,rigorous exercise,186.02080492439393,310.2358709263367,1549.5124368257714
