day,case,weight,calories_burned,bmr
377,moderate exercise,199.27922757480422,166.13420958202926,1619.4658862149302
378,moderate exercise,199.2317719613757,166.0946469998017,1619.250576279312
379,moderate exercise,199.1843276488503,166.05509383886016,1619.0353176168
380,moderate exercise,199.1368946345369,166.01555009696116,1618.820110215185
381,moderate exercise,199.08947291574495,165.9760157718616,1618.6049540622594
382,moderate exercise,199.04206248978457,165.9364908613191,1618.389849145819
383,moderate exercise,198.99466335396653,165.89697536309168,1618.1747954536627
384,moderate exercise,198.94727550560225,165.85746927493787,1617.9597929735921
385,moderate exercise,198.8998989420038,165.81797259461683,1617.7448416934117
386,moderate exercise,198.85253366048383,165.77848531988823,1617.5299416009293
387,moderate exercise,198.80517965835568,165.73900744851227,1617.3150926839546
388,moderate exercise,198.75783693293332,165.6995389782496,1617.1002949303015
389,moderate exercise,198.71050548153136,165.6600799068615,1616.8855483277855
390,moderate exercise,198.66318530146503,165.6206302321098,1616.6708528642262
391,moderate exercise,198.61587639005026,165.58118995175678,1616.4562085274454
392,moderate exercise,198.5685787446035,165.54175906356534,1616.241615305268
393,moderate exercise,198.521292362442,165.5023375652988,1616.0270731855217
394,moderate exercise,198.4740172408835,165.46292545472113,1615.812582156037
395,moderate exercise,198.42675337724648,165.4235227295967,1615.5981422046475
396,moderate exercise,198.37950076885,165.3841293876906,1615.38375331919
397,moderate exercise,198.3322594130138,165.34474542676833,1615.1694154875036
398,moderate exercise,198.28502930705818,165.3053708445958,1614.9551286974306
399,moderate exercise,198.2378104483042,165.2660056389398,1614.7408929368157
400,moderate exercise,198.19060283407347,165.2266498075673,1614.5267081935078
401,moderate exercise,198.14340646168827,165.187303348246,1614.3125744553572
402,moderate exercise,198.0962213284715,165.14796625874402,1614.098491710218
403,moderate exercise,198.0490474317467,165.1086385368301,1613.8844599459467
404,moderate exercise,198.00188476883804,165.0693201802735,1613.670479150403
405,moderate exercise,197.95473333707037,165.03001118684395,1613.4565493114492
406,moderate exercise,197.90759313376913,164.9907115543118,1613.2426704169511
407,moderate exercise,197.86046415626043,164.9514212804478,1613.0288424547766
408,moderate exercise,197.813346401871,164.91214036302338,1612.8150654127971
409,moderate exercise,197.7662398679282,164.8728687998104,1612.6013392788868
